real_x,real_y,mea_x,mea_y,mea_z
0,0.2,0.004842177871,0.177450561,-0.04051980865
0,0.4,0.009881987052,0.3684637959,-0.03264956494
0.2,0,0.1992108004,-0.01262691177,-0.05102839883
0.2,0.4,0.2122159404,0.3729238747,-0.06055743106
0.2,0.2,0.2086393282,0.1752893597,-0.06977068862
0.4,0,0.4032718631,-0.01655126734,-0.06289635753
0.4,0.2,0.4107067382,0.1790274436,-0.06370197821
0.4,0.4,0.4161674336,0.3731299336,-0.07831700631
0.75,0.35,0.7818824233,0.3452918431,-0.02119913627
1.1,1,1.099030952,0.9897440239,0.02149009744
0.75,-0.2,0.753960513,-0.2075535848,-0.03972569567
0.75,0,0.7708496969,-0.01128374472,-0.03284997997
0.75,0.2,0.7797525126,0.1912941463,-0.03614346632
0.75,0.35,0.7818824233,0.3452918431,-0.02119913627
0.75,0.6,0.7906039087,0.5982475037,-0.02662033317
0.75,0.8,0.7793779015,0.7963434807,0.01027934231
0.75,1,0.7639081213,0.9913154684,0.005153448554
0.75,1.2,0.7556813841,1.189516436,0.01145032142
1.5,0.75,1.574002162,0.7741753215,-0.0151778165
1.5,0.6,1.563888241,0.613534488,-0.04147010354
1.5,0.4,1.590048366,0.4035600974,-0.06946061175
1.5,0.25,1.575032057,0.2469366232,-0.05066585782
1.1,0.25,1.136069365,0.2410750039,-0.02788039066
0,0.25,0.006329277152,0.2199487754,-0.05506599958
0.25,0.8,0.2615060023,0.7580811368,-0.05573917895
0.25,0.4,0.2640387829,0.3690235196,-0.06842219581
0.75,1,0.7638820356,0.9882757482,-0.03648748401
0.6,0.45,0.6282748868,0.4366297087,-0.06192153259
1.5,1,1.541080432,1.025025339,-0.005444281412
0.45,0.1,0.459208347,0.07931346403,-0.06640769694
-0.4,0.5,-0.3780794702,0.4488814492,0.1133716144
-0.2,0.5,-0.1846045812,0.4512016541,0.03220694372
0.05,0.5,0.06019004249,0.4608141595,-0.06317166382
0.25,0.5,0.2654240236,0.4652725149,-0.06544001511
0.45,0.5,0.4753520211,0.4737143128,-0.08269913279
0.65,0.5,0.6813030597,0.4835645522,-0.0691776032
0.85,0.5,0.8849930152,0.4918560966,-0.04416508311
1.05,0.5,1.082087857,0.5013659673,-0.004658541262
1.25,0.5,1.293609423,0.5114723941,0.003473361854
1.45,0.5,1.463739168,0.5171730215,0.06846850348
1.65,0.5,1.714565154,0.5280595283,0.03733056568
1.85,0.5,2.004363883,0.5391241551,-0.02955123483